Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,R_Open,R_High,R_Low,R_Close,r_Open,r_High,r_Low,r_Close
2000-01-03,56.92559549543593,57.18201709676672,55.13064428612038,55.38706588745117,3908164,0.0,0,,,,,,,,
2000-01-04,54.361385345458984,54.617806974447,53.84854208748296,54.361385345458984,6895378,0.0,0,-0.04504494204513909,-0.044842946305661435,-0.023255708603430847,-0.01851841265750409,-0.046090999341880726,-0.04587949789230744,-0.023530389551807706,-0.018692025153766306
2000-01-05,51.79715106261903,52.30999414244694,51.02788644287716,51.54072952270508,14657098,0.0,0,-0.04717014230863703,-0.04225385382243141,-0.05238128155862287,-0.05188712180215849,-0.048318924644289066,-0.04317251923869009,-0.05380305336645774,-0.05328171398641793
2000-01-06,51.79718115895065,52.31002453676204,49.36117511434654,49.74580764770508,10632084,0.0,0,5.810422196717013e-07,5.810422196717013e-07,-0.03266275451946088,-0.034825309839847884,5.810420508667362e-07,5.810420508667362e-07,-0.03320808995460262,-0.03544616795369696
2000-01-07,50.51504336304925,51.79715106261903,50.00220028322134,51.54072952270508,8368286,0.0,0,-0.02475304190718186,-0.00980449691402041,0.012986424399132668,0.03608187221949355,-0.025064549705266965,-0.009852877485062434,0.012902823793857229,0.03544616795369697
2000-01-10,52.82288188934326,52.82288188934326,51.027929592132566,51.28435134887695,6201139,0.0,0,0.04568616342081855,0.019802842544065724,0.02051368345995397,-0.00497428298361946,0.04467328565269745,0.019609316989481304,0.020306111761850505,-0.004986695909934152
2000-01-11,51.28433071837133,51.28433071837133,50.00222245041205,50.258644104003906,8366294,0.0,0,-0.029126604152249436,-0.029126604152249436,-0.02010089670341353,-0.020000394231280638,-0.029559204518442236,-0.029559204518442236,-0.02030566843764339,-0.02020310959441734
2000-01-12,49.10472728184291,49.74578116280692,49.10472728184291,49.361148834228516,7369722,0.0,0,-0.04250037791265604,-0.030000382846241624,-0.017949105551442135,-0.017857530496010576,-0.04342995261426093,-0.03045960217163347,-0.018112144629971093,-0.018018900189603337
2000-01-13,49.74578356681252,49.87399434920121,48.97651887248037,49.61757278442383,5281865,0.0,0,0.013054879243910245,0.002577368037998573,-0.002610917857799655,0.005194853771667063,0.0129703987684449,0.0025740523209903123,-0.002614332248253305,0.005181407067815069
2000-01-14,50.130415913978595,50.38683747875598,49.23294043725775,49.61757278442383,5930363,0.0,0,0.0077319587628865705,0.010282776349614275,0.005235602094240788,0.0,0.007702220362092303,0.010230268250814823,0.005221943981151625,0.0
2000-01-17,50.5150665125081,50.5150665125081,49.2329582253886,49.4893798828125,4628898,0.0,0,0.007672998348738025,0.002544891486912393,3.613054733175858e-07,-0.002583618956297884,0.007643710617976297,0.0025416587340808387,3.61305408046779e-07,-0.0025869622595428507
2000-01-18,49.489377578099564,49.489377578099564,48.72011264165242,49.23295593261719,3157976,0.0,0,-0.020304614152186873,-0.020304614152186873,-0.01041671275141276,-0.00518139347881319,-0.020513586402952817,-0.020513586402952817,-0.010471346437145172,-0.005194863446953764
2000-01-19,48.46368201616303,49.23294681007037,47.69441722225567,47.822628021240234,13908521,0.0,0,-0.020725570054258236,-0.005181531483690938,-0.021052812971533386,-0.02864601331894845,-0.020943359138762135,-0.005195002170622999,-0.02127758374080391,-0.029064318237430373
