,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-01-19,40.77153304523611,42.09171530112144,39.46747956035453,40.13623072881584,41.74606993467953,39.076293492685124,40.69679260253906,False,41.08851358900532,43.04027167407192,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-20,40.43519379378842,41.923790556236696,39.44592108629963,39.687777990937136,41.43764143523838,38.904025566025496,39.72515106201172,False,39.46747956035453,41.74606993467953,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-21,39.76251428366491,41.706185638155944,39.35061819900848,38.6787609900396,40.89916621259016,38.45891861495919,38.79087448120117,False,39.44592108629963,41.43764143523838,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-22,39.6877694377875,40.825798739905125,38.45784028846796,38.902983584156615,39.90375058638574,37.351267264331234,39.50091552734375,False,39.35061819900848,40.89916621259016,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-25,40.50993647620014,40.83366653207783,38.58431008167647,39.986744851831034,40.2097198196943,37.74159469740419,40.061485290527344,False,38.45784028846796,39.90375058638574,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-26,39.23932854993855,41.69610133599737,39.27310812729679,38.64139649464866,41.4595777739081,38.72472243122048,38.71613693237305,False,38.58431008167647,40.2097198196943,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-27,39.83726034596641,40.60034740972829,37.91076991171755,39.388812020208746,40.030770795543056,37.00114049171063,39.53829574584961,False,39.27310812729679,41.4595777739081,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-28,40.061491581005434,41.09056396606684,38.434757579566394,39.46355942405238,41.104559826926604,37.95637526510228,39.874637603759766,False,37.91076991171755,40.030770795543056,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-29,40.9957519290705,41.441735057460285,38.86709690467,39.837258109918196,40.95085050601956,37.98172646254273,40.73415756225586,False,38.434757579566394,41.104559826926604,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-01,41.10786972372937,42.320685420756725,39.63234835165268,40.69679159672509,41.32866566042871,38.448643465484906,40.846275329589844,False,38.86709690467,40.95085050601956,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-02,40.846268728755824,42.600133330535904,40.00842947016683,40.210963679538374,42.26715006912939,39.2918798639041,40.47256088256836,False,39.63234835165268,41.32866566042871,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-03,39.27669530545509,41.9734985071315,39.474021202476536,38.79087680075529,41.58580930502723,38.73599351838537,39.05247116088867,False,40.00842947016683,42.26715006912939,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-04,39.12722555701531,40.696885879057355,37.845141189983,38.82826087461077,40.25380607836665,37.18330297639593,38.865631103515625,False,39.474021202476536,41.58580930502723,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-05,39.426191489938454,40.383965016721504,37.67932215753774,38.977743058955156,40.368399354743225,37.44854905659393,39.12722396850586,False,37.845141189983,40.25380607836665,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-11,37.29604921428277,40.86696947070841,38.245504398802666,36.92234131775154,40.395195025647325,37.62506151190486,36.9970817565918,False,37.67932215753774,40.368399354743225,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-12,35.9880681048217,39.051678105834974,35.45766436919628,35.72647089178592,38.537308223537345,35.03846355632336,35.9506950378418,False,38.245504398802666,40.395195025647325,0,0,0.0,0.0,0.0,0.0,0,0.0
