Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,R_High,R_Low,R_Close,r_High,r_Low,r_Close
2000-01-03,56.92560333675809,57.18202497341015,55.13065188019364,55.3870735168457,3908164,0.0,0,,,,,,
2000-01-04,54.36140441894531,54.617826137902604,53.84856098103074,54.36140441894531,6895378,0.0,0,-0.044842742744768294,-0.023255500441914934,-0.01851820348638633,-0.045879284774610556,-0.02353017643411092,-0.018691812036069382
2000-01-05,51.797181732025905,52.31002511551131,51.02791665679779,51.5407600402832,14657098,0.0,0,-0.04225362277444755,-0.05238105295379336,-0.051886893078117335,-0.04317227799735812,-0.053802812125125665,-0.05328147274508599
2000-01-06,51.79716924293754,52.31001250276861,49.361163758739984,49.74579620361328,10632084,0.0,0,-2.41115210242171e-07,-0.0326635498225023,-0.034826103364929306,-2.4111523931044797e-07,-0.033208912111892724,-0.035446990110986946
2000-01-07,50.51507327331239,51.797181732025905,50.002229889826985,51.5407600402832,8368286,0.0,0,-0.009803682817234316,0.012987257233648464,0.036082724042107994,-0.009852055327772384,0.012903645951147175,0.03544699011098696
2000-01-10,52.822850456237795,52.822850456237795,51.027899227142335,51.28432083129883,6201139,0.0,0,0.019801631863258784,0.02051247193525718,-0.00497546424973061,0.019608129817338733,0.020304924589708114,-0.004987883082076672
2000-01-11,51.28431904072664,51.28431904072664,50.002211064708476,50.25863265991211,8366294,0.0,0,-0.02912624748991499,-0.02010053672537404,-0.02000003421632024,-0.029558837156157453,-0.020305301075358686,-0.02020274223213255
2000-01-12,49.10475764088817,49.74581191818436,49.10475764088817,49.36117935180664,7369722,0.0,0,-0.029999562270106472,-0.017948274780467233,-0.01785669964756731,-0.030458756216878897,-0.018111298675216405,-0.01801805423484867
2000-01-13,49.74578739136688,49.87399818361268,48.97652263789214,49.617576599121094,5281865,0.0,0,0.0025768252740379083,-0.0026114578129848853,0.005194309590681678,0.002573510952189374,-0.0026148736170541623,0.005180865699014141
2000-01-14,50.130419768104254,50.38684135259584,49.23294422238372,49.617576599121094,5930363,0.0,0,0.010282776349614275,0.005235602094240788,0.0,0.010230268250814823,0.005221943981151625,0.0
2000-01-17,50.5150587249914,50.5150587249914,49.23295063552462,49.48937225341797,4628898,0.0,0,0.002544659854709419,1.3026116962855383e-07,-0.0025838494035881343,0.002541427689833644,1.302611611445684e-07,-0.0025871933037900194
2000-01-18,49.48937374353409,49.48937374353409,48.72010886669159,49.23295211791992,3157976,0.0,0,-0.020304539029465163,-0.010416636870490104,-0.005181317196447877,-0.020513509723282874,-0.01047126975747533,-0.0051947867672838335
2000-01-19,48.46368974782826,49.23295466446046,47.694424831196066,47.822635650634766,13908521,0.0,0,-0.005181295693949539,-0.0210525809435691,-0.0286457830907082,-0.005194765152794201,-0.0212773467229751,-0.029064081219601523
2000-01-20,47.56620967844145,48.07905290947586,46.79694483188984,46.92515563964844,10790069,0.0,0,-0.023437588965538048,-0.018817293687525605,-0.018766845423217826,-0.02371661771803115,-0.01899659179137023,-0.018945177343164504
2000-01-21,46.02769427009709,46.668748507842174,45.89948342254807,46.41232681274414,15114204,0.0,0,-0.029333032085491317,-0.0191777777922415,-0.010928654788967651,-0.02977184798223272,-0.019364056830353738,-0.010988811224157607
