,Open,High,Low,Close,Volume,Dividends,Stock Splits,R_High,R_Low,R_Close,r_High,r_Low,r_Close,rhat_High,rhat_High_se,rhat_Low,rhat_Low_se,rhat_Close,rhat_Close_se,Phat_High,Phat_Low,Phat_Close,Phat_High_upper,Phat_High_lower,Phat_Low_upper,Phat_Low_lower,Phat_Close_upper,Phat_Close_lower
2015-12-31,46.26503372192383,46.30240393729789,46.11555000926292,46.26503372192383,4236641.0,0.0,0.0,-0.008006679061985156,-0.005640862576832495,-0.004022801183895641,-0.008038904645318765,-0.005656832325893356,-0.0040309144144972334,,,,,,,,,,,,,,,
2016-01-04,46.04080990457287,46.04080990457287,44.957059328113424,45.14391326904297,20504265.0,0.0,0.0,-0.005649685771807245,-0.025121475964545503,-0.024232565345555734,-0.005665705613006746,-0.025442406479227145,-0.02453100512875543,-0.00016220601490248858,0.010445539249034621,-0.0008075778015040808,0.010780883278405078,-0.0008338839994648851,0.010432471632501035,46.294894017968325,46.078323148587664,46.226470131583525,47.2524701816283,45.356723233660695,47.062342406138995,45.11487859789804,47.18142254598962,45.29084596258782
2016-01-05,44.807576670257276,45.03180083446978,44.62072272488603,44.770206451416016,14738714.0,0.0,0.0,-0.021915536937652247,-0.007481285659114989,-0.008278121912023484,-0.02215924962695784,-0.007509410839481067,-0.00831257583749975,-0.0003603516869873549,0.01010918372255457,-0.001985654085433873,0.012959295126328079,-0.00025788237139478084,0.012936689752696769,46.02422200997089,44.867878729801085,45.13227295061608,46.94524034596505,45.12127312615093,46.022129707527206,43.74257676699558,46.29127456450736,44.00228943470632
2016-01-06,44.3217559005237,44.471239629174086,44.134901952501956,44.284385681152344,20291156.0,0.0,0.0,-0.01244811877180374,-0.010887783583861999,-0.010851430198135836,-0.012526245634326204,-0.010947489270114222,-0.010910736395080235,-0.001049436775197976,0.01190111499295066,0.0003045582267108646,0.012482736800085473,0.0003308221646595542,0.012617996871511817,44.9845675951048,44.63431440269727,44.78501987819638,46.04621997079288,43.9473929239388,45.73981337953108,43.55553455516203,45.90642014170522,43.69101313714292
2016-01-07,43.312740906982164,43.3501111221994,42.789549340446825,42.82691955566406,57109124.0,0.0,0.0,-0.025210192392280395,-0.030482737075138377,-0.03291151278425852,-0.025533413166217184,-0.03095699844984669,-0.03346528077042385,-0.002003663309605855,0.011915616360484344,-0.000694201395870086,0.012439816856550509,0.00019740218530402864,0.012578574948132661,44.38222344700636,44.104274074147895,44.293128378546044,45.430951529850454,43.35770420317422,45.19284313483458,43.04192559436931,45.39870390579654,43.21447646675804
2016-01-08,42.602693508488635,43.23799569227221,42.49058001668469,42.90166091918945,40618816.0,0.0,0.0,-0.0025862777977927465,-0.0069869706124606745,0.0017451958791536715,-0.0025896279918180332,-0.007011493786854452,0.0017436747942955774,-0.0008877422538489481,0.013671236434239236,-0.0022790887112312595,0.015253022947878411,-5.1929196965062245e-05,0.016267877086483744,43.31164447360809,42.69213920691852,42.82469564586647,44.4878958033446,42.16649300071405,43.98773014771683,41.43470790473402,44.212164950818035,41.48076800132273
2016-01-11,42.00476785203061,42.341105526833154,41.9300245625384,42.116878509521484,37473545.0,0.0,0.0,-0.020743102243274247,-0.01319246416326103,-0.01829258804562839,-0.020961262542979874,-0.013280257715702263,-0.01846196619056653,-0.002331551430408077,0.012912012882203963,0.0005309292206815526,0.01455780099297001,-0.00042316552327672694,0.014809418611491163,43.137301514011156,42.513145497025626,42.88351025603543,44.24293211239123,42.05930061740964,43.743657193711286,41.317248168063614,44.1465082772689,41.65664564747462
2016-01-12,42.60270420850906,42.75218795140354,42.154255830990856,42.22899627685547,23333645.0,0.0,0.0,0.00970882596133138,0.005347749513430866,0.002662062605343296,0.00966199816189782,0.005333501076475936,0.0026585255924618527,-7.832833308412785e-05,0.01361691140468175,-0.0009354890711840512,0.014507244693877076,-0.0005626700128117015,0.015583375829802633,42.33778914850119,41.89081782440247,42.0931872707508,43.482962472803386,41.222775267532995,43.099045793815264,40.71646101847332,43.398692836259634,40.8269535051555
2016-01-13,42.60269402550197,43.0511422958309,42.527953597502005,42.64006423950195,21913006.0,0.0,0.0,0.006992726191398235,0.008865006845558243,0.009734258421665976,0.006968390464456875,0.008825943367953153,0.009687185759936722,-0.0026830745904732056,0.01340674562565885,0.0008953785480462346,0.013933786541147535,-0.0005163949399047608,0.014631763297139791,42.63763438882203,42.19201675000645,42.2071950663627,43.77288321855094,41.531828214240285,43.36016871820546,41.05533557772789,43.435147421335174,41.013958076148995
2016-01-14,41.78054133277409,42.19161942275168,41.70579804749148,42.079505920410156,33654823.0,0.0,0.0,-0.019965158349874,-0.019332121121831247,-0.013146282236894291,-0.020167155245291654,-0.019521430380006467,-0.01323345948597471,0.0016977746887113115,0.013096874792714127,0.00048419388986359276,0.013496252285293213,-0.0005635307938638325,0.01448212544901277,43.124295516812715,42.5485503587929,42.61604201951673,44.245621347980126,42.031387675524016,43.68909111901318,41.43778438198893,43.843028521729,41.42339383578684
